goos: darwin
goarch: arm64
pkg: github.com/lozzow/termx/tuiv2/render
cpu: Apple M2
BenchmarkCoordinatorRenderFrameFourPanesCached-8                 	  282160	      3963 ns/op	   34422 B/op	      56 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragSize/medium-8                         	    1867	    658472 ns/op	  259468 B/op	     642 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragSize/medium-8                         	    1665	    656402 ns/op	  259468 B/op	     642 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragSize/large-8                          	    1562	    759155 ns/op	  262891 B/op	     642 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragSize/large-8                          	    1587	    758938 ns/op	  262891 B/op	     642 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragSize/large-8                          	    1590	    757955 ns/op	  262891 B/op	     642 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragSize/large-8                          	    1580	    757631 ns/op	  262891 B/op	     642 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragSize/large-8                          	    1591	    756334 ns/op	  262891 B/op	     642 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragContentComplexity/plain_shell-8       	    1878	    667387 ns/op	  259460 B/op	     641 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragContentComplexity/plain_shell-8       	    1833	    641361 ns/op	  259459 B/op	     641 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragContentComplexity/plain_shell-8       	    1705	    643973 ns/op	  259459 B/op	     641 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragContentComplexity/plain_shell-8       	    1881	    644528 ns/op	  259459 B/op	     641 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragContentComplexity/plain_shell-8       	    1886	    646666 ns/op	  259459 B/op	     641 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragContentComplexity/styled_codex-8      	    1504	    790354 ns/op	  415430 B/op	     725 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragContentComplexity/styled_codex-8      	    1474	    792964 ns/op	  415431 B/op	     725 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragContentComplexity/styled_codex-8      	    1477	    814241 ns/op	  415430 B/op	     725 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragContentComplexity/styled_codex-8      	    1449	    790464 ns/op	  415430 B/op	     725 allocs/op
BenchmarkCoordinatorRenderFrameFloatingDragContentComplexity/styled_codex-8      	    1515	    795101 ns/op	  415431 B/op	     725 allocs/op
PASS
ok  	github.com/lozzow/termx/tuiv2/render	77.653s
